type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-39,11,1,7,1,1,1,1,0,0,0,-93,6,6,1,6980066,0,110,0,0,7.36132,384,[110 96 6 0 0 0 0 0 0 0 0 0 8 16 7 17 6 17 6 17 5 17 5 18 4 17 4 18 4 17 4 18 3 17 3 17 3 17 2 17 2 16 2 17 2 16 2 16 1 16 2 15 2 16 2 15 2 15 2 15 3 15 3 14 0 0 3 14 3 14 3 14 4 13 3 13 4 13 4 13 4 13 4 13 5 12 5 12 5 12 6 12 6 12 6 12 6 12 7 12 7 11 7 12 7 12 8 11 8 11 8 11 8 11 8 11 9 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-39,11,1,7,1,1,1,1,0,0,0,-93,6,6,1,6980522,0,110,0,0,7.38924,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 -17 -12 -17 -12 -18 -12 -18 -11 -19 -11 -19 -10 -19 -10 -19 -9 -19 -9 -19 -9 -19 -8 -19 -8 -19 -8 -18 -8 -19 -7 -18 -7 -18 -7 -18 -7 -18 -7 -18 -7 -18 -7 -17 -7 -17 -6 -17 -7 -16 -7 -16 0 0 -8 -16 -7 -16 -7 -15 -8 -15 -8 -15 -8 -15 -9 -14 -10 -14 -9 -13 -9 -14 -9 -13 -10 -13 -10 -13 -10 -13 -10 -13 -11 -13 -11 -12 -11 -12 -12 -12 -12 -12 -12 -12 -12 -12 -12 -12 -12 -11 -13 -11 -12 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-38,11,1,6,1,1,1,1,0,0,0,-93,6,6,1,6982555,0,110,0,0,7.43584,384,[110 96 6 0 0 0 0 0 0 0 0 0 -19 -10 -18 -11 -18 -12 -18 -12 -17 -13 -18 -13 -17 -13 -16 -13 -16 -14 -16 -14 -15 -14 -15 -15 -14 -15 -14 -15 -14 -15 -13 -14 -13 -14 -13 -14 -13 -14 -13 -13 -13 -14 -13 -13 -13 -13 -12 -13 -12 -13 -12 -13 0 0 -13 -12 -12 -12 -13 -12 -12 -11 -13 -11 -13 -11 -13 -10 -13 -10 -13 -10 -14 -9 -13 -9 -14 -10 -14 -9 -14 -9 -14 -9 -14 -8 -14 -8 -14 -8 -15 -8 -14 -7 -15 -7 -15 -7 -15 -7 -15 -7 -15 -6 -15 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-39,11,1,7,1,1,1,1,0,0,0,-93,6,6,1,6982942,0,110,0,0,7.48366,384,[110 96 6 0 0 0 0 0 0 0 0 0 16 8 16 8 16 9 15 10 16 10 15 10 15 11 14 11 14 11 14 12 13 12 13 12 13 12 12 12 12 12 12 12 11 12 11 12 11 11 11 11 11 11 11 11 11 11 11 10 11 10 11 10 0 0 11 9 11 10 11 9 11 8 11 8 11 8 11 8 11 8 11 8 12 7 12 7 12 7 12 6 12 6 12 6 12 5 13 6 13 5 13 5 13 5 13 5 13 4 14 4 14 4 14 4 13 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-39,11,1,7,1,1,1,1,0,0,0,-93,6,6,1,6983362,0,110,0,0,7.52137,384,[110 96 6 0 0 0 0 0 0 0 0 0 17 11 16 12 16 13 15 13 15 14 15 14 14 14 13 14 13 15 13 15 13 15 12 15 12 15 12 15 11 15 11 16 11 15 11 14 10 14 10 14 10 14 10 14 10 14 10 13 10 13 10 13 0 0 10 12 11 12 10 12 11 12 10 11 11 11 11 11 11 11 11 10 11 10 11 10 12 10 12 9 12 9 12 9 12 9 13 9 13 8 13 8 13 8 13 8 13 8 14 8 14 7 14 7 14 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-39,11,1,7,1,1,1,1,0,0,0,-93,2,6,1,6985765,0,110,0,0,7.56035,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -18 0 -17 0 -18 0 -18 1 -18 2 -17 2 -17 3 -17 3 -17 3 -17 3 -17 3 -16 3 -16 4 -16 4 -16 4 -15 4 -15 4 -15 4 -15 4 -15 4 -15 4 -15 4 -14 4 -14 3 -14 3 -14 0 0 3 -14 3 -14 3 -14 2 -13 2 -13 2 -14 2 -13 1 -14 1 -13 1 -13 1 -13 0 -13 0 -13 0 -13 0 -13 -1 -14 -1 -14 -1 -13 -1 -13 -1 -13 -2 -14 -2 -13 -2 -14 -2 -14 -2 -13 -3 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-38,11,1,6,1,1,1,1,0,0,0,-93,6,6,1,7647004,0,110,0,0,8.02768,384,[110 96 6 0 0 0 0 0 0 0 0 0 11 14 10 14 10 15 9 15 9 15 8 15 8 15 8 16 7 15 7 16 6 16 6 15 5 16 5 16 5 15 5 15 5 15 5 15 5 15 5 15 5 15 5 14 5 14 4 14 5 14 4 14 0 0 5 13 5 13 5 13 6 12 6 12 6 12 6 12 6 11 6 11 7 12 7 11 7 11 7 11 7 11 8 11 8 11 8 11 8 10 9 10 9 10 9 10 9 10 9 10 9 10 10 10 10 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-37,11,1,6,1,1,1,1,0,0,0,-93,6,6,1,8202834,0,110,0,0,8.58337,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 -17 8 -16 8 -17 8 -16 9 -16 9 -15 9 -15 10 -15 11 -14 11 -14 11 -14 10 -14 11 -14 10 -13 11 -13 11 -13 11 -13 10 -12 10 -12 11 -12 11 -12 10 -12 10 -12 10 -12 10 -12 9 -12 0 0 9 -12 8 -12 8 -12 8 -12 8 -12 8 -12 8 -12 7 -13 7 -12 6 -12 6 -13 6 -13 6 -13 6 -13 5 -13 5 -13 5 -14 5 -14 5 -14 4 -14 4 -14 4 -14 4 -14 3 -14 3 -14 3 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-39,11,1,7,1,1,1,1,0,0,0,-93,6,6,1,8247662,0,110,0,0,8.62926,384,[110 96 6 0 0 0 0 0 0 0 0 0 -20 1 -20 0 -20 0 -20 0 -20 -1 -20 -2 -20 -3 -19 -3 -19 -4 -19 -3 -19 -3 -19 -3 -19 -3 -19 -4 -18 -4 -18 -5 -18 -5 -17 -5 -18 -5 -17 -5 -17 -5 -17 -5 -16 -4 -17 -3 -16 -3 -16 -3 0 0 -16 -3 -16 -3 -16 -2 -15 -2 -16 -2 -16 -2 -15 -2 -15 -2 -15 -1 -15 0 -16 0 -15 0 -15 1 -15 1 -15 1 -16 1 -15 2 -15 1 -15 2 -15 2 -15 2 -15 2 -15 3 -15 3 -15 4 -15 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,8C:CE:4E:9A:42:DD,-38,11,1,7,1,1,1,1,0,0,0,-94,6,6,1,8447582,0,110,0,0,8.82819,384,[110 96 6 0 0 0 0 0 0 0 0 0 -11 -13 -11 -14 -10 -14 -10 -15 -9 -15 -9 -15 -8 -15 -8 -16 -7 -15 -7 -15 -7 -15 -6 -15 -6 -15 -6 -15 -6 -15 -6 -15 -6 -15 -5 -15 -6 -15 -5 -15 -5 -14 -5 -14 -5 -14 -5 -14 -5 -13 -5 -13 0 0 -5 -13 -6 -13 -6 -12 -6 -12 -6 -12 -6 -12 -6 -12 -6 -12 -7 -11 -7 -11 -7 -11 -7 -11 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -9 -10 -9 -10 -9 -10 -9 -10 -9 -10 -9 -10 -10 -9 -9 -10 0 0 0 0 0 0 0 0 0 0 ]
